admode nboctets nbopcodes opcode1 opcode2 nbdata data1 data2 data3 data4 data5 mnemonic
6 3 1 000000E8 FFFFFFFF 2 4 6 -1 -1 -1 EORB
7 4 1 000000E8 FFFFFFFF 3 4 5 6 -1 -1 EORB
9 2 1 000000E8 FFFFFFFF 1 4 -1 -1 -1 -1 EORB
8 4 1 000000E8 FFFFFFFF 3 4 5 6 -1 -1 EORB
5 3 2 00000018 0000003F 1 4 -1 -1 -1 -1 ETBL
0 2 2 00000018 00000011 0 -1 -1 -1 -1 -1 FDIV
4 3 1 00000004 FFFFFFFF 2 13 12 -1 -1 -1 IBEQ
4 3 1 00000004 FFFFFFFF 2 13 12 -1 -1 -1 IBNE
0 2 2 00000018 00000010 0 -1 -1 -1 -1 -1 IDIV
0 2 2 00000018 00000015 0 -1 -1 -1 -1 -1 IDIVS
3 3 1 00000072 FFFFFFFF 2 2 3 -1 -1 -1 INC
5 2 1 00000062 FFFFFFFF 1 4 -1 -1 -1 -1 INC
6 3 1 00000062 FFFFFFFF 2 4 6 -1 -1 -1 INC
7 4 1 00000062 FFFFFFFF 3 4 5 6 -1 -1 INC
9 2 1 00000062 FFFFFFFF 1 4 -1 -1 -1 -1 INC
8 4 1 00000062 FFFFFFFF 3 4 5 6 -1 -1 INC
0 1 1 00000042 FFFFFFFF 0 -1 -1 -1 -1 -1 INCA
0 1 1 00000052 FFFFFFFF 0 -1 -1 -1 -1 -1 INCB
0 1 1 00000008 FFFFFFFF 0 -1 -1 -1 -1 -1 INX
0 1 1 00000002 FFFFFFFF 0 -1 -1 -1 -1 -1 INY
3 3 1 00000006 FFFFFFFF 2 2 3 -1 -1 -1 JMP
5 2 1 00000005 FFFFFFFF 1 4 -1 -1 -1 -1 JMP
6 3 1 00000005 FFFFFFFF 2 4 6 -1 -1 -1 JMP
7 4 1 00000005 FFFFFFFF 3 4 5 6 -1 -1 JMP
9 2 1 00000005 FFFFFFFF 1 4 -1 -1 -1 -1 JMP
8 4 1 00000005 FFFFFFFF 3 4 5 6 -1 -1 JMP
2 2 1 00000017 FFFFFFFF 1 1 -1 -1 -1 -1 JSR
3 3 1 00000016 FFFFFFFF 2 2 3 -1 -1 -1 JSR
5 2 1 00000015 FFFFFFFF 1 4 -1 -1 -1 -1 JSR
6 3 1 00000015 FFFFFFFF 2 4 6 -1 -1 -1 JSR
7 4 1 00000015 FFFFFFFF 3 4 5 6 -1 -1 JSR
9 2 1 00000015 FFFFFFFF 1 4 -1 -1 -1 -1 JSR
8 4 1 00000015 FFFFFFFF 3 4 5 6 -1 -1 JSR
4 4 2 00000018 00000024 2 11 12 -1 -1 -1 LBCC
4 4 2 00000018 00000025 2 11 12 -1 -1 -1 LBCS
4 4 2 00000018 00000027 2 11 12 -1 -1 -1 LBEQ
4 4 2 00000018 0000002C 2 11 12 -1 -1 -1 LBGE
4 4 2 00000018 0000002E 2 11 12 -1 -1 -1 LBGT
4 4 2 00000018 00000022 2 11 12 -1 -1 -1 LBHI
4 4 2 00000018 00000024 2 11 12 -1 -1 -1 LBHS
4 4 2 00000018 0000002F 2 11 12 -1 -1 -1 LBLE
4 4 2 00000018 00000025 2 11 12 -1 -1 -1 LBLO
4 4 2 00000018 00000023 2 11 12 -1 -1 -1 LBLS
4 4 2 00000018 0000002D 2 11 12 -1 -1 -1 LBLT
4 4 2 00000018 0000002B 2 11 12 -1 -1 -1 LBMI
4 4 2 00000018 00000026 2 11 12 -1 -1 -1 LBNE
4 4 2 00000018 0000002A 2 11 12 -1 -1 -1 LBPL
4 4 2 00000018 00000020 2 11 12 -1 -1 -1 LBRA
4 4 2 00000018 00000021 2 11 12 -1 -1 -1 LBRN
4 4 2 00000018 00000028 2 11 12 -1 -1 -1 LBVC
4 4 2 00000018 00000029 2 11 12 -1 -1 -1 LBVS
1 2 1 00000086 FFFFFFFF 1 0 -1 -1 -1 -1 LDAA
2 2 1 00000096 FFFFFFFF 1 1 -1 -1 -1 -1 LDAA
3 3 1 000000B6 FFFFFFFF 2 2 3 -1 -1 -1 LDAA
5 2 1 000000A6 FFFFFFFF 1 4 -1 -1 -1 -1 LDAA
6 3 1 000000A6 FFFFFFFF 2 4 6 -1 -1 -1 LDAA
7 4 1 000000A6 FFFFFFFF 3 4 5 6 -1 -1 LDAA
9 2 1 000000A6 FFFFFFFF 1 4 -1 -1 -1 -1 LDAA
8 4 1 000000A6 FFFFFFFF 3 4 5 6 -1 -1 LDAA
1 2 1 000000C6 FFFFFFFF 1 0 -1 -1 -1 -1 LDAB
2 2 1 000000D6 FFFFFFFF 1 1 -1 -1 -1 -1 LDAB
3 3 1 000000F6 FFFFFFFF 2 2 3 -1 -1 -1 LDAB
5 2 1 000000E6 FFFFFFFF 1 4 -1 -1 -1 -1 LDAB
6 3 1 000000E6 FFFFFFFF 2 4 6 -1 -1 -1 LDAB
7 4 1 000000E6 FFFFFFFF 3 4 5 6 -1 -1 LDAB
9 2 1 000000E6 FFFFFFFF 1 4 -1 -1 -1 -1 LDAB
8 4 1 000000E6 FFFFFFFF 3 4 5 6 -1 -1 LDAB
1 3 1 000000CC FFFFFFFF 2 7 8 -1 -1 -1 LDD
2 2 1 000000DC FFFFFFFF 1 1 -1 -1 -1 -1 LDD
3 3 1 000000FC FFFFFFFF 2 2 3 -1 -1 -1 LDD
5 2 1 000000EC FFFFFFFF 1 4 -1 -1 -1 -1 LDD
6 3 1 000000EC FFFFFFFF 2 4 6 -1 -1 -1 LDD
7 4 1 000000EC FFFFFFFF 3 4 5 6 -1 -1 LDD
9 2 1 000000EC FFFFFFFF 1 4 -1 -1 -1 -1 LDD
8 4 1 000000EC FFFFFFFF 3 4 5 6 -1 -1 LDD
1 3 1 000000CF FFFFFFFF 2 7 8 -1 -1 -1 LDS
2 2 1 000000DF FFFFFFFF 1 1 -1 -1 -1 -1 LDS
3 3 1 000000FF FFFFFFFF 2 2 3 -1 -1 -1 LDS
5 2 1 000000EF FFFFFFFF 1 4 -1 -1 -1 -1 LDS
6 3 1 000000EF FFFFFFFF 2 4 6 -1 -1 -1 LDS
7 4 1 000000EF FFFFFFFF 3 4 5 6 -1 -1 LDS
9 2 1 000000EF FFFFFFFF 1 4 -1 -1 -1 -1 LDS
8 4 1 000000EF FFFFFFFF 3 4 5 6 -1 -1 LDS
1 3 1 000000CE FFFFFFFF 2 7 8 -1 -1 -1 LDX
2 2 1 000000DE FFFFFFFF 1 1 -1 -1 -1 -1 LDX
3 3 1 000000FE FFFFFFFF 2 2 3 -1 -1 -1 LDX
5 2 1 000000EE FFFFFFFF 1 4 -1 -1 -1 -1 LDX
6 3 1 000000EE FFFFFFFF 2 4 6 -1 -1 -1 LDX
7 4 1 000000EE FFFFFFFF 3 4 5 6 -1 -1 LDX
9 2 1 000000EE FFFFFFFF 1 4 -1 -1 -1 -1 LDX
8 4 1 000000EE FFFFFFFF 3 4 5 6 -1 -1 LDX
1 3 1 000000CD FFFFFFFF 2 7 8 -1 -1 -1 LDY
2 2 1 000000DD FFFFFFFF 1 1 -1 -1 -1 -1 LDY
3 3 1 000000FD FFFFFFFF 2 2 3 -1 -1 -1 LDY
5 2 1 000000ED FFFFFFFF 1 4 -1 -1 -1 -1 LDY
6 3 1 000000ED FFFFFFFF 2 4 6 -1 -1 -1 LDY
7 4 1 000000ED FFFFFFFF 3 4 5 6 -1 -1 LDY
9 2 1 000000ED FFFFFFFF 1 4 -1 -1 -1 -1 LDY
8 4 1 000000ED FFFFFFFF 3 4 5 6 -1 -1 LDY
5 2 1 0000001B FFFFFFFF 1 4 -1 -1 -1 -1 LEAS
6 3 1 0000001B FFFFFFFF 2 4 6 -1 -1 -1 LEAS
7 4 1 0000001B FFFFFFFF 3 4 5 6 -1 -1 LEAS
5 2 1 0000001A FFFFFFFF 1 4 -1 -1 -1 -1 LEAX
6 3 1 0000001A FFFFFFFF 2 4 6 -1 -1 -1 LEAX
7 4 1 0000001A FFFFFFFF 3 4 5 6 -1 -1 LEAX
5 2 1 00000019 FFFFFFFF 1 4 -1 -1 -1 -1 LEAY
6 3 1 00000019 FFFFFFFF 2 4 6 -1 -1 -1 LEAY
7 4 1 00000019 FFFFFFFF 3 4 5 6 -1 -1 LEAY
3 3 1 00000078 FFFFFFFF 2 2 3 -1 -1 -1 LSL
